<L>831<pc>4,3	agastyasaMhitA	ag/stya—saMhitA	agstyasaMhitA
<L>1164.1<pc>6,1	agnIzomIyapaSvanuzWAna	agnIzom/ya—paSv-anuzWAna	agnIzomyapaSvanuzWAna
<L>6414<pc>33,1	anudaka	an-udakam	anudakam
<L>8336<pc>44,2	antika	antikA/t	antikAt
<L>8337<pc>44,2	antika	antikA/t	antikAt
<L>18838<pc>108,3	avidviz	a-vidvize	avidvize
<L>27885<pc>159,3	Asanizu	Asa/nn—izu	Asannizu
<L>28702<pc>164,3	iqAyAspade	iLAyA/s-pade/	iLAyAspade
<L>32131<pc>183,2	udaSvidvat	uda—Svi/t-vat	udaSvitvat
<L>35591<pc>205,2	uparizwAllakzman	upa/rizwA—lakzman	uparizwAlakzman
<L>39787.70<pc>230,1	ekAdaSAratni	/kAdaSAratni	kAdaSAratni
<L>40430<pc>234,1	EndrI	EndraI	EndraI
<L>46511<pc>264,2	kavi	kav	kav
<L>46512<pc>264,2	kavi	kav	kav
<L>46513<pc>264,2	kavi	kav	kav
<L>46514<pc>264,2	kavi	kav	kav
<L>73842.80<pc>397,1	citraraTa	citra/—raTI	citraraTI
<L>99021<pc>507,1	dvIpavat	dvIpa—vatI	dvIpavatI
<L>103160<pc>525,2	nagnaikA	na/gnikA	nagnikA
<L>105511.1<pc>535,1	nAnAvinA	nA/nA	nAnA
<L>120204<pc>610,1	palASI	palASa/	palASa
<L>120205<pc>610,1	palASI	palASa/	palASa
<L>120473<pc>611,1	pavitrarogaparihAraprayoga	pavi/ra—roga-parihAra-prayoga	pavirarogaparihAraprayoga
<L>125501<pc>632,3	putra	putrI	putrI
<L>125502<pc>632,3	putra	putraI	putraI
<L>135161<pc>682,2	prapApAlikA	pra-pAlikA	prapAlikA
<L>135161.1<pc>682,2	prapApAlI	pra-pAlI	prapAlI
<L>138171<pc>698,3	prasfmara	pa-sfmara	pasfmara
<L>146247.02<pc>736,2	bfhadAraRyakopanizad	bfhad—AraRya	bfhadAraRya
<L>164214<pc>816,2	mitramahas	mitra/Q—mahas	mitraQmahas
<L>169899.2<pc>842,3	yaTAyogenam	yaTA—am	yaTAam
<L>183293<pc>906,2	lokaDAtf	loka—DAtrI	lokaDAtrI
<L>183707<pc>908,2	lomaSA	lomaS/	lomaS
<L>192173<pc>946,3	vAlukI	vAluka	vAluka
<L>192174<pc>946,3	vAlukI	vAluka	vAluka
<L>195261<pc>961,1	vijYAtavya	v/-jYAtavya	vjYAtavya
<L>207951<pc>1027,1	vESvAnarI	vESvAnaraI	vESvAnaraI
<L>212118<pc>1050,1	SatayAyin	Sata—yojana—yAyin	SatayojanayAyin
<L>212119<pc>1050,1	SatayAyinvat	Sata—yojana—vat	Satayojanavat
<L>222495<pc>1096,3	Srava	Srava-eza	Sravaeza
<L>225412<pc>1110,2	zoqaSI	zo-qaS/	zoqaS
<L>240192<pc>1194,1	sahajanyI	saha—janyA/	sahajanyA
<L>247201<pc>1226,3	sunO	su—nu	sunu
<L>255643<pc>1264,2	sTita	sTit/	sTit
<L>255655.1<pc>1264,2	sTitavatvatI	sTita—vatI	sTitavatI
<L>258657<pc>1278,3	svayamBUliNgasamBUtA	svayam—B/—liNga-samBUtA	svayamBliNgasamBUtA
